Name,Type,Category,Power,Accuracy,PP,Effect,Prob of effect
Spark,Electric,physical,65,100,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Sparkling Aria,Water,special,90,100,—,"<td class=""cell-long-text"">Heals the burns of its target.</td>",-
Sparkly Swirl,Fairy,special,90,100,—,"<td class=""cell-long-text"">Cures all status problems in the party Pokémon.</td>",-
Spectral Thief,Ghost,physical,90,100,—,"<td class=""cell-long-text"">The user hides in the target's shadow, steals the target's stat boosts, and then attacks.</td>",-
Speed Swap,Psychic,status,-,-,—,"<td class=""cell-long-text"">The user exchanges Speed stats with the target.</td>",-
Spicy Extract,Grass,status,-,∞,—,"<td class=""cell-long-text"">Harshly lowers the opponent's Defense and sharply raises their Attack.</td>",-
Spider Web,Bug,status,-,-,—,"<td class=""cell-long-text"">Opponent cannot escape/switch.</td>",-
Spike Cannon,Normal,physical,20,100,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Spikes,Ground,status,-,-,—,"<td class=""cell-long-text"">Damages opponents switching into battle.</td>",-
Spiky Shield,Grass,status,-,-,—,"<td class=""cell-long-text"">Protects the user and inflicts damage on contact.</td>",-
Spin Out,Steel,physical,100,100,—,"<td class=""cell-long-text"">Harshly lowers user’s Speed.</td>",-
Spirit Break,Fairy,physical,75,100,100,"<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>",100
Spirit Shackle,Ghost,physical,80,100,—,"<td class=""cell-long-text"">Prevents the opponent from switching out.</td>",-
Spit Up,Normal,special,-,100,—,"<td class=""cell-long-text"">Power depends on how many times the user performed Stockpile.</td>",-
Spite,Ghost,status,-,100,—,"<td class=""cell-long-text"">The opponent's last move loses 2-5 PP.</td>",-
Splash,Normal,status,-,-,—,"<td class=""cell-long-text"">Doesn't do ANYTHING.</td>",-
Splintered Stormshards,Rock,physical,190,-,—,"<td class=""cell-long-text"">Lycanroc-exclusive Z-Move.</td>",-
Splishy Splash,Water,special,90,100,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Spore,Grass,status,-,100,—,"<td class=""cell-long-text"">Puts opponent to sleep.</td>",-
Spotlight,Normal,status,-,-,—,"<td class=""cell-long-text"">The user shines a spotlight on the target so that only the target will be attacked during the turn.</td>",-
Springtide Storm,Fairy,special,100,80,—,"<td class=""cell-long-text"">Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.</td>",-
Stealth Rock,Rock,status,-,-,—,"<td class=""cell-long-text"">Damages opponents switching into battle.</td>",-
Steam Eruption,Water,special,110,95,30,"<td class=""cell-long-text"">May burn opponent.</td>",30
Steamroller,Bug,physical,65,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Steel Beam,Steel,special,140,95,—,"<td class=""cell-long-text"">User loses 50% of its HP.</td>",-
Steel Roller,Steel,physical,130,100,—,"<td class=""cell-long-text"">Fails if no Terrain in effect.</td>",-
Steel Wing,Steel,physical,70,90,10,"<td class=""cell-long-text"">May raise user's Defense.</td>",10
Sticky Web,Bug,status,-,-,—,"<td class=""cell-long-text"">Lowers opponent's Speed when switching into battle.</td>",-
Stockpile,Normal,status,-,-,—,"<td class=""cell-long-text"">Stores energy for use with Spit Up and Swallow.</td>",-
Stoked Sparksurfer,Electric,special,175,-,100,"<td class=""cell-long-text"">Alolan Raichu-exclusive Electric type Z-Move.</td>",100
Stomp,Normal,physical,65,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Stomping Tantrum,Ground,physical,75,100,—,"<td class=""cell-long-text"">Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.</td>",-
Stone Axe,Rock,physical,65,90,—,"<td class=""cell-long-text"">Sets up Stealth Rock.</td>",-
Stone Edge,Rock,physical,100,80,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Stored Power,Psychic,special,20,100,—,"<td class=""cell-long-text"">Power increases when user's stats have been raised.</td>",-
Storm Throw,Fighting,physical,60,100,100,"<td class=""cell-long-text"">Always results in a critical hit.</td>",100
Strange Steam,Fairy,special,90,95,20,"<td class=""cell-long-text"">May confuse opponent.</td>",20
Strength,Normal,physical,80,100,—,"<td class=""cell-long-text""></td>",-
Strength Sap,Grass,status,-,100,100,"<td class=""cell-long-text"">The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.</td>",100
String Shot,Bug,status,-,95,—,"<td class=""cell-long-text"">Sharply lowers opponent's Speed.</td>",-
Struggle,Normal,physical,50,-,-,"<td class=""cell-long-text"">Only usable when all PP are gone. Hurts the user.</td>",-
Struggle Bug,Bug,special,50,100,100,"<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>",100
Stuff Cheeks,Normal,status,-,-,100,"<td class=""cell-long-text"">The user eats its held Berry, then sharply raises its Defense stat.</td>",100
Stun Spore,Grass,status,-,75,—,"<td class=""cell-long-text"">Paralyzes opponent.</td>",-
Submission,Fighting,physical,80,80,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Substitute,Normal,status,-,-,—,"<td class=""cell-long-text"">Uses HP to creates a decoy that takes hits.</td>",-
Subzero Slammer,Ice,,-,-,—,"<td class=""cell-long-text"">Ice type Z-Move.</td>",-
Sucker Punch,Dark,physical,70,100,—,"<td class=""cell-long-text"">User attacks first, but only works if opponent is readying an attack.</td>",-
Sunny Day,Fire,status,-,-,—,"<td class=""cell-long-text"">Makes it sunny for 5 turns.</td>",-
Sunsteel Strike,Steel,physical,100,100,—,"<td class=""cell-long-text"">Ignores the target's ability.</td>",-
Super Fang,Normal,physical,-,90,—,"<td class=""cell-long-text"">Always takes off half of the opponent's HP.</td>",-
Supercell Slam,Electric,physical,100,95,—,"<td class=""cell-long-text""></td>",-
Superpower,Fighting,physical,120,100,100,"<td class=""cell-long-text"">Lowers user's Attack and Defense.</td>",100
Supersonic,Normal,status,-,55,—,"<td class=""cell-long-text"">Confuses opponent.</td>",-
Supersonic Skystrike,Flying,,-,-,—,"<td class=""cell-long-text"">Flying type Z-Move.</td>",-
Surf,Water,special,90,100,—,"<td class=""cell-long-text"">Hits all adjacent Pokémon.</td>",-
Surging Strikes,Water,physical,25,100,—,"<td class=""cell-long-text"">Always results in a critical hit and ignores stat changes.</td>",-
Swagger,Normal,status,-,85,—,"<td class=""cell-long-text"">Confuses opponent, but sharply raises its Attack.</td>",-
Swallow,Normal,status,-,-,—,"<td class=""cell-long-text"">The more times the user has performed Stockpile, the more HP is recovered.</td>",-
Sweet Kiss,Fairy,status,-,75,—,"<td class=""cell-long-text"">Confuses opponent.</td>",-
Sweet Scent,Normal,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Evasiveness.</td>",-
Swift,Normal,special,60,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Switcheroo,Dark,status,-,100,—,"<td class=""cell-long-text"">Swaps held items with the opponent.</td>",-
Swords Dance,Normal,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Attack.</td>",-
Synchronoise,Psychic,special,120,100,—,"<td class=""cell-long-text"">Hits any Pokémon that shares a type with the user.</td>",-
Synthesis,Grass,status,-,-,—,"<td class=""cell-long-text"">User recovers HP. Amount varies with the weather.</td>",-
Syrup Bomb,Grass,special,60,85,—,"<td class=""cell-long-text"">Lowers opponent's Speed each turn for 3 turns.</td>",-
Tachyon Cutter,Steel,special,50,∞,—,"<td class=""cell-long-text"">Guaranteed to hit twice in a row.</td>",-
Tackle,Normal,physical,40,100,—,"<td class=""cell-long-text""></td>",-
Tail Glow,Bug,status,-,-,—,"<td class=""cell-long-text"">Drastically raises user's Special Attack.</td>",-
Tail Slap,Normal,physical,25,85,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Tail Whip,Normal,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Defense.</td>",-
Tailwind,Flying,status,-,-,—,"<td class=""cell-long-text"">Doubles Speed for 4 turns.</td>",-
Take Down,Normal,physical,90,85,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Take Heart,Psychic,status,-,-,—,"<td class=""cell-long-text"">Heals user's status conditions and raises its stats.</td>",-
Tar Shot,Rock,status,-,100,100,"<td class=""cell-long-text"">Lowers the opponent's Speed and makes them weaker to Fire-type moves.</td>",100
Taunt,Dark,status,-,100,—,"<td class=""cell-long-text"">Opponent can only use moves that attack.</td>",-
Tearful Look,Normal,status,-,-,100,"<td class=""cell-long-text"">The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.</td>",100
Teatime,Normal,status,-,-,—,"<td class=""cell-long-text"">Forces all Pokémon on the field to eat their berries.</td>",-
Techno Blast,Normal,special,120,100,—,"<td class=""cell-long-text"">Type depends on the Drive being held.</td>",-
Tectonic Rage,Ground,,-,-,—,"<td class=""cell-long-text"">Ground type Z-Move.</td>",-
Teeter Dance,Normal,status,-,100,—,"<td class=""cell-long-text"">Confuses all Pokémon.</td>",-
Telekinesis,Psychic,status,-,-,—,"<td class=""cell-long-text"">Ignores opponent's Evasiveness for three turns, add Ground immunity.</td>",-
Teleport,Psychic,status,-,-,—,"<td class=""cell-long-text"">Allows user to flee wild battles; also warps player to last PokéCenter.</td>",-
Temper Flare,Fire,physical,75,100,—,"<td class=""cell-long-text""></td>",-
Tera Blast,Normal,special,80,100,—,"<td class=""cell-long-text"">Changes type when the user has Terastallized.</td>",-
Tera Starstorm,Normal,special,120,100,—,"<td class=""cell-long-text""></td>",-
Terrain Pulse,Normal,special,50,100,—,"<td class=""cell-long-text"">Type and power change depending on the Terrain in effect.</td>",-
Thief,Dark,physical,60,100,—,"<td class=""cell-long-text"">Also steals opponent's held item.</td>",-
Thousand Arrows,Ground,physical,90,100,—,"<td class=""cell-long-text"">Makes Flying-type Pokémon vulnerable to Ground moves.</td>",-
Thousand Waves,Ground,physical,90,100,—,"<td class=""cell-long-text"">Opponent cannot flee or switch.</td>",-
Thrash,Normal,physical,120,100,—,"<td class=""cell-long-text"">User attacks for 2-3 turns but then becomes confused.</td>",-
Throat Chop,Dark,physical,80,100,100,"<td class=""cell-long-text"">Prevents use of sound moves for two turns.</td>",100
Thunder,Electric,special,110,70,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Thunder Cage,Electric,special,80,90,—,"<td class=""cell-long-text"">Deals damage and traps opponent, damaging them for 4-5 turns.</td>",-
Thunder Fang,Electric,physical,65,95,10,"<td class=""cell-long-text"">May cause flinching and/or paralyze opponent.</td>",10
Thunder Punch,Electric,physical,75,100,10,"<td class=""cell-long-text"">May paralyze opponent.</td>",10
Thunder Shock,Electric,special,40,100,10,"<td class=""cell-long-text"">May paralyze opponent.</td>",10
Thunder Wave,Electric,status,-,90,—,"<td class=""cell-long-text"">Paralyzes opponent.</td>",-
Thunderbolt,Electric,special,90,100,10,"<td class=""cell-long-text"">May paralyze opponent.</td>",10
Thunderclap,Electric,special,70,100,—,"<td class=""cell-long-text"">Strikes before a target's move.</td>",-
Thunderous Kick,Fighting,physical,90,100,100,"<td class=""cell-long-text"">Lowers opponent's Defense.</td>",100
Tickle,Normal,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Attack and Defense.</td>",-
Tidy Up,Normal,status,-,-,—,"<td class=""cell-long-text"">Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.</td>",-
Topsy-Turvy,Dark,status,-,-,—,"<td class=""cell-long-text"">Reverses stat changes of opponent.</td>",-
Torch Song,Fire,special,80,100,—,"<td class=""cell-long-text"">Raises user's Special Attack.</td>",-
Torment,Dark,status,-,100,—,"<td class=""cell-long-text"">Opponent cannot use the same move in a row.</td>",-
Toxic,Poison,status,-,90,—,"<td class=""cell-long-text"">Badly poisons opponent.</td>",-
Toxic Spikes,Poison,status,-,-,—,"<td class=""cell-long-text"">Poisons opponents switching into battle.</td>",-
Toxic Thread,Poison,status,-,100,100,"<td class=""cell-long-text"">Poisons opponent and lowers its Speed.</td>",100
Trailblaze,Grass,physical,50,100,—,"<td class=""cell-long-text"">Raises user's Speed.</td>",-
Transform,Normal,status,-,-,—,"<td class=""cell-long-text"">User takes on the form and attacks of the opponent.</td>",-
Tri Attack,Normal,special,80,100,20,"<td class=""cell-long-text"">May paralyze, burn or freeze opponent.</td>",20
Trick,Psychic,status,-,100,—,"<td class=""cell-long-text"">Swaps held items with the opponent.</td>",-
Trick Room,Psychic,status,-,-,—,"<td class=""cell-long-text"">Slower Pokémon move first in the turn for 5 turns.</td>",-
Trick-or-Treat,Ghost,status,-,100,—,"<td class=""cell-long-text"">Adds Ghost type to opponent.</td>",-
Triple Arrows,Fighting,physical,90,100,—,"<td class=""cell-long-text"">High critical hit ratio. May lower opponent's Defense or cause them to flinch.</td>",-
Triple Axel,Ice,physical,20,90,—,"<td class=""cell-long-text"">Attacks thrice with more power each time.</td>",-
Triple Dive,Water,physical,30,95,—,"<td class=""cell-long-text"">Hits 3 times in a row.</td>",-
Triple Kick,Fighting,physical,10,90,—,"<td class=""cell-long-text"">Hits thrice in one turn at increasing power.</td>",-
Trop Kick,Grass,physical,70,100,100,"<td class=""cell-long-text"">Lowers opponent's Attack.</td>",100
Trump Card,Normal,special,-,∞,—,"<td class=""cell-long-text"">The lower the PP, the higher the power.</td>",-
Twin Beam,Psychic,special,40,100,—,"<td class=""cell-long-text"">Hits twice in one turn.</td>",-
Twineedle,Bug,physical,25,100,20,"<td class=""cell-long-text"">Hits twice in one turn. May poison opponent.</td>",20
Twinkle Tackle,Fairy,,-,-,—,"<td class=""cell-long-text"">Fairy type Z-Move.</td>",-
Twister,Dragon,special,40,100,20,"<td class=""cell-long-text"">May cause flinching. Hits Pokémon using Fly/Bounce with double power.</td>",20
U-turn,Bug,physical,70,100,—,"<td class=""cell-long-text"">User switches out immediately after attacking.</td>",-
Upper Hand,Fighting,physical,65,100,—,"<td class=""cell-long-text"">Strikes before a target's priority move.</td>",-
Uproar,Normal,special,90,100,—,"<td class=""cell-long-text"">User attacks for 3 turns and prevents sleep.</td>",-
V-create,Fire,physical,180,95,100,"<td class=""cell-long-text"">Lowers user's Defense, Special Defense and Speed.</td>",100
Vacuum Wave,Fighting,special,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Veevee Volley,Normal,physical,-,∞,—,"<td class=""cell-long-text"">Power increases when player's bond is stronger.</td>",-
Venom Drench,Poison,status,-,100,100,"<td class=""cell-long-text"">Lowers poisoned opponent's Special Attack and Speed.</td>",100
Venoshock,Poison,special,65,100,—,"<td class=""cell-long-text"">Inflicts double damage if the target is poisoned.</td>",-
Victory Dance,Fighting,status,-,-,—,"<td class=""cell-long-text"">Raises Attack and Defense.</td>",-
Vine Whip,Grass,physical,45,100,—,"<td class=""cell-long-text""></td>",-
Vise Grip,Normal,physical,55,100,—,"<td class=""cell-long-text""></td>",-
Vital Throw,Fighting,physical,70,∞,—,"<td class=""cell-long-text"">User attacks last, but ignores Accuracy and Evasiveness.</td>",-
Volt Switch,Electric,special,70,100,—,"<td class=""cell-long-text"">User must switch out after attacking.</td>",-
Volt Tackle,Electric,physical,120,100,10,"<td class=""cell-long-text"">User receives recoil damage. May paralyze opponent.</td>",10
Wake-Up Slap,Fighting,physical,70,100,—,"<td class=""cell-long-text"">Power doubles if opponent is asleep, but wakes it up.</td>",-
Water Gun,Water,special,40,100,—,"<td class=""cell-long-text""></td>",-
Water Pledge,Water,special,80,100,—,"<td class=""cell-long-text"">Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.</td>",-
Water Pulse,Water,special,60,100,20,"<td class=""cell-long-text"">May confuse opponent.</td>",20
Water Shuriken,Water,special,15,100,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Water Sport,Water,status,-,-,—,"<td class=""cell-long-text"">Weakens the power of Fire-type moves.</td>",-
Water Spout,Water,special,150,100,—,"<td class=""cell-long-text"">The higher the user's HP, the higher the damage caused.</td>",-
Waterfall,Water,physical,80,100,20,"<td class=""cell-long-text"">May cause flinching.</td>",20
Wave Crash,Water,physical,120,100,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Weather Ball,Normal,special,50,100,—,"<td class=""cell-long-text"">Move's power and type changes with the weather.</td>",-
Whirlpool,Water,special,35,85,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Whirlwind,Normal,status,-,-,—,"<td class=""cell-long-text"">In battles, the opponent switches. In the wild, the Pokémon runs.</td>",-
Wicked Blow,Dark,physical,75,100,—,"<td class=""cell-long-text"">Always results in a critical hit and ignores stat changes.</td>",-
Wicked Torque,Dark,physical,80,100,—,"<td class=""cell-long-text"">May put opponent to sleep.</td>",-
Wide Guard,Rock,status,-,-,—,"<td class=""cell-long-text"">Protects the user's team from multi-target attacks.</td>",-
Wild Charge,Electric,physical,90,100,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Wildbolt Storm,Electric,special,100,80,—,"<td class=""cell-long-text"">May paralyze target.</td>",-
Will-O-Wisp,Fire,status,-,85,—,"<td class=""cell-long-text"">Burns opponent.</td>",-
Wing Attack,Flying,physical,60,100,—,"<td class=""cell-long-text""></td>",-
Wish,Normal,status,-,-,—,"<td class=""cell-long-text"">The user recovers HP in the following turn.</td>",-
Withdraw,Water,status,-,-,—,"<td class=""cell-long-text"">Raises user's Defense.</td>",-
Wonder Room,Psychic,status,-,-,—,"<td class=""cell-long-text"">Swaps every Pokémon's Defense and Special Defense for 5 turns.</td>",-
Wood Hammer,Grass,physical,120,100,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Work Up,Normal,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack and Special Attack.</td>",-
Worry Seed,Grass,status,-,100,—,"<td class=""cell-long-text"">Changes the opponent's Ability to Insomnia.</td>",-
Wrap,Normal,physical,15,90,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Wring Out,Normal,special,-,100,—,"<td class=""cell-long-text"">The higher the opponent's HP, the higher the damage.</td>",-
X-Scissor,Bug,physical,80,100,—,"<td class=""cell-long-text""></td>",-
Yawn,Normal,status,-,-,—,"<td class=""cell-long-text"">Puts opponent to sleep in the next turn.</td>",-
Zap Cannon,Electric,special,120,50,100,"<td class=""cell-long-text"">Paralyzes opponent.</td>",100
Zen Headbutt,Psychic,physical,80,90,20,"<td class=""cell-long-text"">May cause flinching.</td>",20
Zing Zap,Electric,physical,80,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Zippy Zap,Electric,physical,50,100,100,"<td class=""cell-long-text"">Always results in a critical hit.</td>",100
